"phecode","description","groupnum","group","color"
"1015","Effects of other external causes",NA,NA,NA
"1015.1","Abuse or neglect",NA,NA,NA
"1015.2","Other effects of other external causes",NA,NA,NA
"1019","Other ill-defined and unknown causes of morbidity and mortality",NA,NA,NA
"1089","Acquired absence of limb",NA,NA,NA
"1090","Acquired absence of organs",NA,NA,NA
"110","Dermatophytosis / Dermatomycosis","1","infections","blue"
"110.1","Dermatophytosis","1","infections","blue"
"110.11","Dermatophytosis of nail","1","infections","blue"
"110.12","Althete's foot","1","infections","blue"
"110.13","Dermatophytosis of the body","1","infections","blue"
"110.2","Dermatomycoses","1","infections","blue"
"1100","Family history",NA,NA,NA
"112","Candidiasis","1","infections","blue"
"112.3","Candidiasis of skin and nails","1","infections","blue"
"117","Mycoses","1","infections","blue"
"117.1","Histoplasmosis","1","infections","blue"
"117.2","Coccidioidomycosis","1","infections","blue"
"117.3","Blastomycotic infection","1","infections","blue"
"117.4","Aspergillosis","1","infections","blue"
"130","Spirochetal infection","1","infections","blue"
"130.1","Lyme disease","1","infections","blue"
"130.2","Relapsing fever","1","infections","blue"
"131","Protozoan infection","1","infections","blue"
"132","Infestation (lice, mites)","1","infections","blue"
"132.1","Pediculosis and phthirus infestation","1","infections","blue"
"133","Arthropod-borne diseases","1","infections","blue"
"134","Helminthiases","1","infections","blue"
"134.1","Intestinal helminthiases","1","infections","blue"
"136","Other infectious and parasitic diseases","1","infections","blue"
"145","Cancer of mouth","2","neoplasms","darkcyan"
"145.1","Cancer of lip","2","neoplasms","darkcyan"
"145.2","Cancer of tongue","2","neoplasms","darkcyan"
"145.3","Cancer of major salivary glands","2","neoplasms","darkcyan"
"145.4","Cancer of the gums","2","neoplasms","darkcyan"
"145.5","Cancer of the mouth floor","2","neoplasms","darkcyan"
"149","Cancer of larynx, pharynx, nasal cavities","2","neoplasms","darkcyan"
"149.1","Cancer of oropharynx","2","neoplasms","darkcyan"
"149.2","Cancer of nasopharynx","2","neoplasms","darkcyan"
"149.3","Cancer of hypopharynx","2","neoplasms","darkcyan"
"149.4","Cancer of larynx","2","neoplasms","darkcyan"
"149.9","Cancer of of nasal cavities","2","neoplasms","darkcyan"
"150","Cancer of esophagus","2","neoplasms","darkcyan"
"151","Cancer of stomach","2","neoplasms","darkcyan"
"153","Colorectal cancer","2","neoplasms","darkcyan"
"155","Cancer of liver and intrahepatic bile duct","2","neoplasms","darkcyan"
"155.1","Malignant neoplasm of liver, primary","2","neoplasms","darkcyan"
"157","Pancreatic cancer","2","neoplasms","darkcyan"
"158","Neoplasm of unspecified nature of digestive system","2","neoplasms","darkcyan"
"159","Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum","2","neoplasms","darkcyan"
"159.2","Malignant neoplasm of small intestine, including duodenum","2","neoplasms","darkcyan"
"159.3","Malignant neoplasm of gallbladder and extrahepatic bile ducts","2","neoplasms","darkcyan"
"159.4","Malignant neoplasm of retroperitoneum and peritoneum","2","neoplasms","darkcyan"
"164","Cancer of intrathoracic organs","2","neoplasms","darkcyan"
"165","Cancer within the respiratory system","2","neoplasms","darkcyan"
"165.1","Cancer of bronchus; lung","2","neoplasms","darkcyan"
"170","Cancer of bone and connective tissue","2","neoplasms","darkcyan"
"170.1","Bone cancer","2","neoplasms","darkcyan"
"170.2","Cancer of connective tissue","2","neoplasms","darkcyan"
"172","Skin cancer","2","neoplasms","darkcyan"
"173","Neoplasm of uncertain behavior of skin","2","neoplasms","darkcyan"
"174","Breast cancer","2","neoplasms","darkcyan"
"174.1","Breast cancer [female]","2","neoplasms","darkcyan"
"174.11","Malignant neoplasm of female breast","2","neoplasms","darkcyan"
"174.3","Neoplasm of uncertain behavior of breast","2","neoplasms","darkcyan"
"175","Acquired absence of breast","2","neoplasms","darkcyan"
"180","Cervical cancer and dysplasia","2","neoplasms","darkcyan"
"180.3","Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]","2","neoplasms","darkcyan"
"182","Malignant neoplasm of uterus","2","neoplasms","darkcyan"
"184","Cancer of other female genital organs","2","neoplasms","darkcyan"
"184.1","Malignant neoplasm of ovary and other uterine adnexa","2","neoplasms","darkcyan"
"184.11","Malignant neoplasm of ovary","2","neoplasms","darkcyan"
"184.2","Cancer of other female genital organs (excluding uterus and ovary)","2","neoplasms","darkcyan"
"185","Cancer of prostate","2","neoplasms","darkcyan"
"187","Cancer of other male genital organs","2","neoplasms","darkcyan"
"187.2","Malignant neoplasm of testis","2","neoplasms","darkcyan"
"187.8","Neoplasm of uncertain behavior of male genital organs","2","neoplasms","darkcyan"
"189","Cancer of urinary organs (incl. kidney and bladder)","2","neoplasms","darkcyan"
"190","Cancer of eye","2","neoplasms","darkcyan"
"191","Manlignant and unknown neoplasms of brain and nervous system","2","neoplasms","darkcyan"
"191.1","Cancer of brain and nervous system","2","neoplasms","darkcyan"
"191.11","Cancer of brain","2","neoplasms","darkcyan"
"193","Thyroid cancer","2","neoplasms","darkcyan"
"194","Cancer of other endocrine glands","2","neoplasms","darkcyan"
"195","Cancer, suspected or other","2","neoplasms","darkcyan"
"195.1","Malignant neoplasm, other","2","neoplasms","darkcyan"
"195.3","Malignant neoplasm of head, face, and neck","2","neoplasms","darkcyan"
"196","Radiotherapy","2","neoplasms","darkcyan"
"197","Chemotherapy","2","neoplasms","darkcyan"
"198","Secondary malignant neoplasm","2","neoplasms","darkcyan"
"198.1","Secondary malignancy of lymph nodes","2","neoplasms","darkcyan"
"198.2","Secondary malignancy of respiratory organs","2","neoplasms","darkcyan"
"198.3","Secondary malignant neoplasm of digestive systems","2","neoplasms","darkcyan"
"198.4","Secondary malignant neoplasm of liver","2","neoplasms","darkcyan"
"198.5","Secondary malignancy of brain/spine","2","neoplasms","darkcyan"
"198.6","Secondary malignancy of bone","2","neoplasms","darkcyan"
"199","Neoplasm of uncertain behavior","2","neoplasms","darkcyan"
"199.4","Neurofibromatosis","15","congenital anomalies & genetic disorders","mediumspringgreen"
"199.41","Neurofibromatosis type 1","15","congenital anomalies & genetic disorders","mediumspringgreen"
"199.42","Neurofibromatosis type 2","15","congenital anomalies & genetic disorders","mediumspringgreen"
"199.43","Unspecified and other neurofibromatosis","15","congenital anomalies & genetic disorders","mediumspringgreen"
"200","Myeloproliferative and myelodysplastic disease","2","neoplasms","darkcyan"
"200.1","Polycythemia vera","2","neoplasms","darkcyan"
"201","Hodgkin's disease","2","neoplasms","darkcyan"
"202","Cancer of other lymphoid, histiocytic tissue","2","neoplasms","darkcyan"
"202.2","Non-Hodgkins lymphoma","2","neoplasms","darkcyan"
"202.21","Nodular lymphoma","2","neoplasms","darkcyan"
"202.22","Reticulosarcoma","2","neoplasms","darkcyan"
"202.23","Lymphosarcoma","2","neoplasms","darkcyan"
"204","Leukemia","2","neoplasms","darkcyan"
"204.1","Lymphoid leukemia","2","neoplasms","darkcyan"
"204.11","Lymphoid leukemia, acute","2","neoplasms","darkcyan"
"204.12","Lymphoid leukemia, chronic","2","neoplasms","darkcyan"
"204.2","Myeloid leukemia","2","neoplasms","darkcyan"
"204.21","Myeloid leukemia, acute","2","neoplasms","darkcyan"
"204.22","Myeloid leukemia, chronic","2","neoplasms","darkcyan"
"204.3","Monocytic leukemia","2","neoplasms","darkcyan"
"204.4","Multiple myeloma","2","neoplasms","darkcyan"
"208","Benign neoplasm of colon","2","neoplasms","darkcyan"
"209","Neuroendocrine tumors","2","neoplasms","darkcyan"
"210","Benign neoplasm of lip, oral cavity, and pharynx","2","neoplasms","darkcyan"
"211","Benign neoplasm of other parts of digestive system","2","neoplasms","darkcyan"
"212","Benign neoplasm of respiratory and intrathoracic organs","2","neoplasms","darkcyan"
"213","Benign neoplasm of bone and articular cartilage","2","neoplasms","darkcyan"
"214","Lipoma","2","neoplasms","darkcyan"
"214.1","Lipoma of skin and subcutaneous tissue","2","neoplasms","darkcyan"
"215","Other benign neoplasm of connective and other soft tissue","2","neoplasms","darkcyan"
"216","Benign neoplasm of skin","2","neoplasms","darkcyan"
"216.1","Screening for malignant neoplasms of the skin","2","neoplasms","darkcyan"
"217","Vascular hamartomas and non-neoplastic nevi","2","neoplasms","darkcyan"
"217.1","Nevus, non-neoplastic","2","neoplasms","darkcyan"
"218","Benign neoplasm of uterus","2","neoplasms","darkcyan"
"220","Benign neoplasm of ovary","2","neoplasms","darkcyan"
"221","Benign neoplasm of other female genital organs","2","neoplasms","darkcyan"
"222","Benign neoplasm of male genital organs","2","neoplasms","darkcyan"
"223","Benign neoplasm of kidney and other urinary organs","2","neoplasms","darkcyan"
"224","Benign neoplasm of eye","2","neoplasms","darkcyan"
"224.1","Benign neoplasm of eye, uveal","2","neoplasms","darkcyan"
"225","Benign neoplasm of brain and other parts of nervous system","2","neoplasms","darkcyan"
"225.1","Benign neoplasm of brain, cranial nerves, meninges","2","neoplasms","darkcyan"
"225.2","Benign neoplasm of spinal cord, meninges","2","neoplasms","darkcyan"
"226","Benign neoplasm of thyroid glands","2","neoplasms","darkcyan"
"227","Benign neoplasm of other endocrine glands and related structures","2","neoplasms","darkcyan"
"227.1","Benign neoplasm of adrenal gland","2","neoplasms","darkcyan"
"227.3","Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)","2","neoplasms","darkcyan"
"228","Hemangioma and lymphangioma, any site","2","neoplasms","darkcyan"
"228.1","Hemangioma of skin and subcutaneous tissue","2","neoplasms","darkcyan"
"228.2","Vascular disorders of skin","2","neoplasms","darkcyan"
"229","Benign neoplasm of unspecified sites","2","neoplasms","darkcyan"
"229.1","Benign neoplasm of lymph nodes","2","neoplasms","darkcyan"
"230","Kaposi's sarcoma","2","neoplasms","darkcyan"
"240","Simple and unspecified goiter","3","endocrine/metabolic","brown"
"241","Nontoxic nodular goiter","3","endocrine/metabolic","brown"
"241.1","Nontoxic uninodular goiter","3","endocrine/metabolic","brown"
"241.2","Nontoxic multinodular goiter","3","endocrine/metabolic","brown"
"242","Thyrotoxicosis with or without goiter","3","endocrine/metabolic","brown"
"242.1","Graves' disease","3","endocrine/metabolic","brown"
"242.2","Toxic multinodular goiter","3","endocrine/metabolic","brown"
"242.3","Exophthalmos","3","endocrine/metabolic","brown"
"244","Hypothyroidism","3","endocrine/metabolic","brown"
"244.1","Secondary hypothyroidism","3","endocrine/metabolic","brown"
"244.2","Acquired hypothyroidism","3","endocrine/metabolic","brown"
"244.4","Hypothyroidism NOS","3","endocrine/metabolic","brown"
"244.5","Congenital hypothyroidism","3","endocrine/metabolic","brown"
"245","Thyroiditis","3","endocrine/metabolic","brown"
"245.1","Thyroiditis, acute and subacute","3","endocrine/metabolic","brown"
"245.2","Chronic thyroiditis","3","endocrine/metabolic","brown"
"245.21","Chronic lymphocytic thyroiditis","3","endocrine/metabolic","brown"
"246","Other disorders of thyroid","3","endocrine/metabolic","brown"
"246.2","Thyroid cyst","3","endocrine/metabolic","brown"
"246.7","Abnormal results of function study of thyroid","3","endocrine/metabolic","brown"
"249","Secondary diabetes mellitus","3","endocrine/metabolic","brown"
"250","Diabetes mellitus","3","endocrine/metabolic","brown"
"250.1","Type 1 diabetes","3","endocrine/metabolic","brown"
"250.11","Type 1 diabetes with ketoacidosis","3","endocrine/metabolic","brown"
"250.12","Type 1 diabetes with renal manifestations","3","endocrine/metabolic","brown"
"250.14","Type 1 diabetes with neurological manifestations","3","endocrine/metabolic","brown"
"250.2","Type 2 diabetes","3","endocrine/metabolic","brown"
"250.21","Type 2 diabetes with ketoacidosis","3","endocrine/metabolic","brown"
"250.22","Type 2 diabetes with renal manifestations","3","endocrine/metabolic","brown"
"250.3","Insulin pump user","3","endocrine/metabolic","brown"
"250.4","Abnormal glucose","3","endocrine/metabolic","brown"
"250.41","Impaired fasting glucose","3","endocrine/metabolic","brown"
"250.42","Other abnormal glucose","3","endocrine/metabolic","brown"
"250.5","Glycosuria or Acetonuria","3","endocrine/metabolic","brown"
"250.7","Diabetic retinopathy","3","endocrine/metabolic","brown"
"251","Other disorders of pancreatic internal secretion","3","endocrine/metabolic","brown"
"251.1","Hypoglycemia","3","endocrine/metabolic","brown"
"252","Disorders of parathyroid gland","3","endocrine/metabolic","brown"
"252.1","Hyperparathyroidism","3","endocrine/metabolic","brown"
"252.2","Hypoparathyroidism","3","endocrine/metabolic","brown"
"253","Disorders of the pituitary gland and its hypothalamic control","3","endocrine/metabolic","brown"
"253.1","Pituitary hyperfunction","3","endocrine/metabolic","brown"
"253.11","Acromegaly and gigantism","3","endocrine/metabolic","brown"
"253.2","Pituitary hypofunction","3","endocrine/metabolic","brown"
"253.3","Diabetes insipidus","3","endocrine/metabolic","brown"
"253.4","Anterior pituitary disorders","3","endocrine/metabolic","brown"
"253.5","Pituitary dwarfism","3","endocrine/metabolic","brown"
"253.7","Other disorders of neurohypophysis","3","endocrine/metabolic","brown"
"254","Diseases of thymus gland","3","endocrine/metabolic","brown"
"255","Disorders of adrenal glands","3","endocrine/metabolic","brown"
"255.1","Adrenal hyperfunction","3","endocrine/metabolic","brown"
"255.11","Cushing's syndrome","3","endocrine/metabolic","brown"
"255.12","Hyperaldosteronism","3","endocrine/metabolic","brown"
"255.2","Adrenal hypofunction","3","endocrine/metabolic","brown"
"255.21","Glucocorticoid deficiency","3","endocrine/metabolic","brown"
"255.22","Mineralocorticoid deficiency","3","endocrine/metabolic","brown"
"255.3","Adrenogenital disorders","3","endocrine/metabolic","brown"
"256","Ovarian dysfunction","3","endocrine/metabolic","brown"
"256.4","Polycystic ovaries","3","endocrine/metabolic","brown"
"257","Testicular dysfunction","3","endocrine/metabolic","brown"
"257.1","Testicular hypofunction","3","endocrine/metabolic","brown"
"258","Iatrogenic endocrine disorders","3","endocrine/metabolic","brown"
"259","Other endocrine disorders","3","endocrine/metabolic","brown"
"259.1","Nonspecific abnormal results of other endocrine function study","3","endocrine/metabolic","brown"
"259.3","Delay in sexual development and puberty NEC","3","endocrine/metabolic","brown"
"259.4","Precocious sexual development and puberty NEC","3","endocrine/metabolic","brown"
"259.8","Polyglandular activity in multiple endocrine adenomatosis","3","endocrine/metabolic","brown"
"260","Protein-calorie malnutrition","10","digestive","chartreuse4"
"260.1","Cachexia","10","digestive","chartreuse4"
"260.2","severe protein-calorie malnutrition","10","digestive","chartreuse4"
"260.21","Kwashiorkor","10","digestive","chartreuse4"
"260.22","Nutritional marasmus","10","digestive","chartreuse4"
"260.3","Adult failure to thrive","10","digestive","chartreuse4"
"260.6","Anorexia","10","digestive","chartreuse4"
"260.7","Polyphagia","10","digestive","chartreuse4"
"261","Vitamin deficiency","3","endocrine/metabolic","brown"
"261.1","Vitamin A deficiency","3","endocrine/metabolic","brown"
"261.2","Vitamin B-complex deficiencies","3","endocrine/metabolic","brown"
"261.3","Vitamin C deficiencies","3","endocrine/metabolic","brown"
"261.4","Vitamin D deficiency","3","endocrine/metabolic","brown"
"261.41","Rickets or osteomalacia","3","endocrine/metabolic","brown"
"262","Mineral deficiency NEC","10","digestive","chartreuse4"
"263","Other nutritional deficiency","3","endocrine/metabolic","brown"
"264","Lack of normal physiological development","3","endocrine/metabolic","brown"
"264.1","Short stature","3","endocrine/metabolic","brown"
"264.2","Failure to thrive (childhood)","3","endocrine/metabolic","brown"
"264.3","Delayed milestones","6","neurological","darkblue"
"264.9","Lack of normal physiological development, unspecified","18","symptoms","purple"
"269","Proteinuria","16","renal/kidney","lightpink"
"270","Disorders of protein plasma/amino-acid transport and metabolism","3","endocrine/metabolic","brown"
"270.1","Disturbances of amino-acid transport","3","endocrine/metabolic","brown"
"270.11","Disturbances of sulphur-bearing amino-acid metabolism","3","endocrine/metabolic","brown"
"270.12","Phenylketonuria [PKU]","3","endocrine/metabolic","brown"
"270.2","Disorders of amino-acid metabolism","3","endocrine/metabolic","brown"
"270.21","Disorders of urea cycle metabolism","3","endocrine/metabolic","brown"
"270.3","Disorders of plasma protein metabolism","3","endocrine/metabolic","brown"
"270.33","Amyloidosis","3","endocrine/metabolic","brown"
"270.34","Alpha-1-antitrypsin deficiency","3","endocrine/metabolic","brown"
"270.38","Other specified disorders of plasma protein metabolism","3","endocrine/metabolic","brown"
"271","Disorders of carbohydrate transport and metabolism","3","endocrine/metabolic","brown"
"271.3","Intestinal disaccharidase deficiencies and disaccharide malabsorption","3","endocrine/metabolic","brown"
"271.9","Other disorders of carbohydrate transport and metabolism","3","endocrine/metabolic","brown"
"272","Disorders of lipoid metabolism","3","endocrine/metabolic","brown"
"272.1","Hyperlipidemia","3","endocrine/metabolic","brown"
"272.11","Hypercholesterolemia","3","endocrine/metabolic","brown"
"272.12","Hyperglyceridemia","3","endocrine/metabolic","brown"
"272.13","Mixed hyperlipidemia","3","endocrine/metabolic","brown"
"272.9","Unspecified disorder of lipoid metabolism","3","endocrine/metabolic","brown"
"274","Gout and other crystal arthropathies","3","endocrine/metabolic","brown"
"275","Disorders of mineral metabolism","3","endocrine/metabolic","brown"
"275.1","Disorders of iron metabolism","4","hematologic","darkorange1"
"275.11","Hereditary hemochromatosis","4","hematologic","darkorange1"
"275.2","Disorders of copper metabolism","3","endocrine/metabolic","brown"
"275.3","Disorders of magnesium metabolism","3","endocrine/metabolic","brown"
"275.5","Disorders of calcium/phosphorus metabolism","3","endocrine/metabolic","brown"
"275.51","Hypocalcemia","3","endocrine/metabolic","brown"
"275.53","Disorders of phosphorus metabolism","3","endocrine/metabolic","brown"
"275.6","Hypercalcemia","3","endocrine/metabolic","brown"
"276","Disorders of fluid, electrolyte, and acid-base balance","3","endocrine/metabolic","brown"
"276.1","Electrolyte imbalance","3","endocrine/metabolic","brown"
"276.11","Hyperosmolality and/or hypernatremia","3","endocrine/metabolic","brown"
"276.12","Hyposmolality and/or hyponatremia","3","endocrine/metabolic","brown"
"276.13","Hyperpotassemia","3","endocrine/metabolic","brown"
"276.14","Hypopotassemia","3","endocrine/metabolic","brown"
"276.4","Acid-base balance disorder","3","endocrine/metabolic","brown"
"276.41","Acidosis","3","endocrine/metabolic","brown"
"276.42","Alkalosis","3","endocrine/metabolic","brown"
"276.5","Hypovolemia","18","symptoms","purple"
"276.6","Fluid overload","18","symptoms","purple"
"276.8","Polydipsia","3","endocrine/metabolic","brown"
"277","Other disorders of metabolism","3","endocrine/metabolic","brown"
"277.1","Disorders of porphyrin metabolism","3","endocrine/metabolic","brown"
"277.4","Disorders of bilirubin excretion","3","endocrine/metabolic","brown"
"277.5","Other disorders of lipoid metabolism","3","endocrine/metabolic","brown"
"277.51","Lipoprotein disorders","3","endocrine/metabolic","brown"
"277.6","Other deficiencies of circulating enzymes","3","endocrine/metabolic","brown"
"277.7","Dysmetabolic syndrome X","3","endocrine/metabolic","brown"
"277.8","Carnitine deficiencies","3","endocrine/metabolic","brown"
"278","Overweight, obesity and other hyperalimentation","3","endocrine/metabolic","brown"
"278.1","Obesity","3","endocrine/metabolic","brown"
"278.11","Morbid obesity","3","endocrine/metabolic","brown"
"278.3","Localized adiposity","3","endocrine/metabolic","brown"
"278.4","Abnormal weight gain","3","endocrine/metabolic","brown"
"279","Disorders involving the immune mechanism","17","immunologic & inflammatory disorders","deepskyblue"
"279.1","Immunity deficiency","17","immunologic & inflammatory disorders","deepskyblue"
"279.11","Deficiency of humoral immunity","4","hematologic","darkorange1"
"279.111","Hypogammaglobulinemia, unspecified","17","immunologic & inflammatory disorders","deepskyblue"
"279.112","Other selective immunoglobulin deficiencies","17","immunologic & inflammatory disorders","deepskyblue"
"279.113","Selective IgA immunodeficiency","17","immunologic & inflammatory disorders","deepskyblue"
"279.114","Common variable immunodeficiency","17","immunologic & inflammatory disorders","deepskyblue"
"279.115","Selective IgM immunodeficiency","17","immunologic & inflammatory disorders","deepskyblue"
"279.116","Other deficiency of humoral immunity","17","immunologic & inflammatory disorders","deepskyblue"
"279.117","Congenital hypogammaglobulinemia","17","immunologic & inflammatory disorders","deepskyblue"
"279.118","Immunodeficiency with increased IgM","17","immunologic & inflammatory disorders","deepskyblue"
"279.2","Autoimmune disease NEC","17","immunologic & inflammatory disorders","deepskyblue"
"279.7","Other immunological findings","17","immunologic & inflammatory disorders","deepskyblue"
"279.8","Other specified disorders involving the immune mechanism","17","immunologic & inflammatory disorders","deepskyblue"
"280","Iron deficiency anemias","4","hematologic","darkorange1"
"280.1","Iron deficiency anemias, unspecified or not due to blood loss","4","hematologic","darkorange1"
"280.2","Iron deficiency anemia secondary to blood loss (chronic)","4","hematologic","darkorange1"
"281","Other deficiency anemia","4","hematologic","darkorange1"
"281.1","Megaloblastic anemia","4","hematologic","darkorange1"
"281.12","Other vitamin B12 deficiency anemia","4","hematologic","darkorange1"
"281.9","Deficiency anemias","4","hematologic","darkorange1"
"282","Hereditary hemolytic anemias","4","hematologic","darkorange1"
"282.5","Sickle cell anemia","4","hematologic","darkorange1"
"282.8","Other hemoglobinopathies","4","hematologic","darkorange1"
"282.9","Other hereditary hemolytic anemias","4","hematologic","darkorange1"
"283","Acquired hemolytic anemias","4","hematologic","darkorange1"
"283.1","Autoimmune hemolytic anemias","4","hematologic","darkorange1"
"283.2","Non-autoimmune hemolytic anemias","4","hematologic","darkorange1"
"283.21","Hemolytic-uremic syndrome","4","hematologic","darkorange1"
"284","Aplastic anemia","4","hematologic","darkorange1"
"284.1","Pancytopenia","4","hematologic","darkorange1"
"284.2","Constitutional aplastic anemia","4","hematologic","darkorange1"
"285","Other anemias","4","hematologic","darkorange1"
"285.1","Acute posthemorrhagic anemia","4","hematologic","darkorange1"
"285.2","Anemia of chronic disease","4","hematologic","darkorange1"
"285.21","Anemia in chronic kidney disease","4","hematologic","darkorange1"
"285.22","Anemia in neoplastic disease","4","hematologic","darkorange1"
"285.8","Hemoglobinuria","4","hematologic","darkorange1"
"286","Coagulation defects","4","hematologic","darkorange1"
"286.1","Congenital coagulation defects","4","hematologic","darkorange1"
"286.11","Von willebrand's disease","4","hematologic","darkorange1"
"286.12","Congenital deficiency of other clotting factors (including factor VII)","4","hematologic","darkorange1"
"286.13","Congenital factor VIII disorder","4","hematologic","darkorange1"
"286.14","Congenital factor IX disorder","4","hematologic","darkorange1"
"286.15","Congenital factor XI deficiency","4","hematologic","darkorange1"
"286.2","Encounter for long-term (current) use of anticoagulants","4","hematologic","darkorange1"
"286.4","Acquired coagulation factor deficiency","4","hematologic","darkorange1"
"286.5","Hemorrhagic disorder due to intrinsic circulating anticoagulants","4","hematologic","darkorange1"
"286.6","Defibrination syndrome","4","hematologic","darkorange1"
"286.7","Other and unspecified coagulation defects","4","hematologic","darkorange1"
"286.8","Hypercoagulable state","4","hematologic","darkorange1"
"286.81","Primary hypercoagulable state","4","hematologic","darkorange1"
"286.9","Abnormal coagulation profile","4","hematologic","darkorange1"
"287","Purpura and other hemorrhagic conditions","4","hematologic","darkorange1"
"287.1","Spontaneous ecchymoses","4","hematologic","darkorange1"
"287.2","Allergic purpura","4","hematologic","darkorange1"
"287.3","Thrombocytopenia","4","hematologic","darkorange1"
"287.31","Primary thrombocytopenia","4","hematologic","darkorange1"
"287.311","Immune thrombocytopenic purpura","4","hematologic","darkorange1"
"287.312","Primary thrombocytopenia, unspecified","4","hematologic","darkorange1"
"287.313","Other primary thrombocytopenia","4","hematologic","darkorange1"
"287.314","Congenital and hereditary thrombocytopenic purpura","4","hematologic","darkorange1"
"287.315","Evans syndrome","4","hematologic","darkorange1"
"287.32","Secondary thrombocytopenia","4","hematologic","darkorange1"
